..\imagens_para_conversao\windows1: .word 24, 42
.byte 255,255,255,255,255,255,255,255,255,255,174,174,174,255,255,255,255,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,255,255,100,100,101,255,255,255,255,255,255,255,255,255,255,255,
255,255,255,255,255,255,174,173,164,173,100,100,101,173,164,173,174,255,255,255,255,255,255,255,
255,255,255,255,255,255,165,100,91,100,100,100,100,100,91,100,173,255,255,255,255,255,255,255,
182,173,173,173,173,173,101,100,91,100,100,100,100,100,91,100,101,173,173,173,173,173,173,182,
174,100,100,100,100,100,100,100,91,100,100,100,100,100,91,100,100,100,100,100,100,100,100,182,
255,173,100,100,100,100,100,100,91,100,100,100,100,100,91,100,100,100,100,100,100,100,174,255,
255,173,100,100,100,100,100,100,91,100,100,100,100,100,91,100,100,100,100,100,100,100,182,255,
255,173,100,100,100,100,100,100,91,100,100,100,100,100,91,100,100,100,100,100,100,100,182,255,
255,255,164,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,173,255,255,
255,255,173,91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,173,255,255,
255,255,173,91,100,91,91,91,91,91,91,91,91,91,91,91,91,91,92,100,92,173,255,255,
255,255,173,91,100,92,255,255,255,255,255,255,255,255,255,245,245,255,92,100,92,173,255,255,
255,255,173,91,100,92,255,255,255,255,255,255,255,255,245,245,255,235,92,100,92,173,255,255,
255,255,173,91,100,92,255,255,255,255,255,255,255,245,245,255,236,255,92,100,92,173,255,255,
255,255,173,91,100,92,255,255,255,255,255,255,245,245,255,236,255,255,92,100,92,173,255,255,
255,255,173,91,100,92,255,255,255,255,255,245,245,255,236,255,255,255,92,100,92,173,255,255,
255,255,173,91,100,92,255,255,255,255,245,245,255,236,255,255,255,255,92,100,92,173,255,255,
255,255,173,91,100,92,255,255,255,245,245,255,236,255,255,255,255,255,92,100,92,173,255,255,
255,255,173,91,100,92,255,255,245,245,255,236,255,255,255,255,255,255,92,100,92,173,255,255,
255,255,173,91,100,92,255,245,245,255,236,255,255,255,255,255,255,255,92,100,92,173,255,255,
255,255,173,91,100,100,245,245,255,236,255,255,255,255,255,255,255,255,100,100,92,173,255,255,
255,255,173,91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,173,255,255,
255,255,173,91,100,92,92,92,92,92,92,92,92,92,92,92,92,92,92,100,92,173,255,255,
255,255,173,91,100,91,82,18,0,0,0,0,0,0,0,0,82,255,92,100,92,173,255,255,
255,255,173,91,100,91,9,0,0,0,0,0,0,0,0,82,255,235,92,100,92,173,255,255,
255,255,173,91,100,91,9,0,0,0,0,0,0,0,82,255,236,255,92,100,92,173,255,255,
255,255,173,91,100,91,9,0,0,0,0,0,0,0,73,236,255,255,92,100,92,173,255,255,
255,255,173,91,100,91,9,0,0,0,0,0,0,0,82,255,255,255,92,100,92,173,255,255,
255,255,173,91,100,91,9,0,0,0,0,0,73,236,255,255,255,255,92,100,92,173,255,255,
255,255,173,91,100,91,9,0,0,0,82,255,236,255,255,255,255,255,92,100,92,173,255,255,
255,255,173,91,100,91,9,0,0,82,255,236,255,255,255,255,255,255,92,100,92,173,255,255,
255,255,173,91,100,91,9,0,82,255,236,255,255,255,255,255,255,255,92,100,92,173,255,255,
255,255,173,91,100,91,18,82,255,236,255,255,255,255,255,255,255,255,92,100,92,173,255,255,
255,255,173,91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,173,255,255,
255,247,173,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92,173,247,255,
173,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,182,
174,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,100,182,
255,173,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,182,255,
255,173,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,182,255,
255,173,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,182,255,
255,182,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,246,255,


