stage: .word 44, 12
.byte 234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,
234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,
234,235,246,255,255,255,254,235,234,255,255,255,255,255,255,255,255,235,234,255,255,255,236,234,234,234,234,244,246,255,255,255,254,245,234,234,255,255,255,255,255,255,236,234,
234,254,255,244,234,236,246,236,234,234,234,234,255,255,236,234,234,234,244,255,255,255,245,234,234,234,245,255,255,244,235,235,245,245,234,234,255,255,245,234,234,234,234,234,
235,255,255,235,234,234,234,234,234,234,234,234,255,255,236,234,234,234,246,255,254,255,255,234,234,235,255,255,245,234,234,234,234,234,234,234,255,255,245,234,234,234,234,234,
234,255,255,255,246,244,234,234,234,234,234,234,255,255,236,234,234,234,255,255,244,255,255,244,234,244,255,255,235,234,234,234,234,234,234,234,255,255,245,234,234,234,234,234,
234,245,255,255,255,255,255,236,234,234,234,234,255,255,236,234,234,245,255,255,234,246,255,246,234,245,255,255,234,234,245,255,255,255,234,234,255,255,255,255,255,255,234,234,
234,234,236,245,254,255,255,246,234,234,234,234,255,255,236,234,234,246,255,246,234,244,255,255,234,244,255,255,235,234,234,236,255,255,234,234,255,255,245,234,234,234,234,234,
234,234,234,234,234,246,255,246,234,234,234,234,255,255,236,234,235,255,255,255,255,255,255,255,245,235,255,255,245,234,234,236,255,255,234,234,255,255,245,234,234,234,234,234,
235,254,244,235,235,246,255,245,234,234,234,234,255,255,236,234,245,255,254,234,234,234,245,255,246,234,245,255,255,244,234,244,255,255,234,234,255,255,245,234,234,234,234,234,
234,254,255,255,255,255,245,234,234,234,234,234,255,255,236,234,254,255,245,234,234,234,236,255,255,235,234,244,254,255,255,255,254,246,234,234,255,255,255,255,255,255,244,234,
