fase1: .word 12, 12
.byte 199,199,199,9,91,164,91,73,199,199,199, 199,
199,199,73,91,173,182,173,82,199,199,199, 199,
199,199,91,173,182,182,173,82,199,199,199, 199,
199,199,82,91,173,182,173,82,199,199,199, 199,
199,199,199,82,173,182,173,82,199,199,199, 199,
199,199,199,82,173,182,173,82,199,199,199, 199,
199,199,199,82,173,182,173,82,199,199,199, 199,
199,199,199,82,173,182,173,82,199,199,199, 199,
199,199,199,82,173,182,173,82,199,199,199, 199,
82,164,164,173,173,182,173,173,164,164,82, 199,
82,164,164,164,164,164,164,164,164,164,82, 199,
199,199,199,199,199,199,199,199,199,199,199,199, 199
